Row,Column,Value
1,1,0.789183159819938
2,2,0.571434230025044
3,3,0.571434230025044
4,4,0.571434230025044
5,1,-4.76752442290083e-05
5,5,0.946790376258706
6,1,-0.000504652902772361
6,5,-0.0147271252222147
6,6,7.07662025961333
7,1,0.00364110290089135
7,5,0.144636401225103
7,6,0.675968721706773
7,7,6.71939741767714
8,1,0.00163794990584818
8,5,-0.00709069930334276
8,6,-0.461605436794264
8,7,-0.159773055843449
8,8,3.15176675893539
9,1,0.00140890739332524
9,5,0.000677609181098585
9,6,0.000417253661683045
9,7,-0.201487807117628
9,8,-0.0897309444995264
9,9,1.27727548060043
10,1,0.00128725571528256
10,5,0.139021545561791
10,6,-0.319442142355571
10,7,0.188732645601562
10,8,0.685633636423938
10,9,-0.0320452207299558
10,10,4.40599264437671
11,1,0.000928256327106232
11,5,-0.000782125456592434
11,6,-0.1774000009501
11,7,0.0165270599989023
11,8,-0.00657574306467656
11,9,0.00038036624950382
11,10,0.00075222111535685
11,11,0.772684562202238
12,1,0.000928256327106232
12,5,-0.000782125456592434
12,6,-0.1774000009501
12,7,0.0165270599989023
12,8,-0.00657574306467656
12,9,0.00038036624950382
12,10,0.00075222111535685
12,11,-0.0838608163004808
12,12,0.772684562202238
13,1,0.0311278339554834
13,5,0.0675601321244283
13,6,-0.323713178259906
13,7,0.567974569540404
13,8,-0.00760791940664787
13,9,0.013641975782792
13,10,-0.174681160994423
13,11,0.0184029939023796
13,12,0.0184029939023796
13,13,4.61990651481505
14,1,0.000928256327106232
14,5,-0.000782125456592434
14,6,-0.1774000009501
14,7,0.0165270599989023
14,8,-0.00657574306467656
14,9,0.00038036624950382
14,10,0.00075222111535685
14,11,-0.0838608163004808
14,12,-0.0838608163004808
14,13,0.0184029939023796
14,14,0.772684562202238
15,1,0.000928256327106232
15,5,-0.000782125456592434
15,6,-0.1774000009501
15,7,0.0165270599989023
15,8,-0.00657574306467656
15,9,0.00038036624950382
15,10,0.00075222111535685
15,11,-0.0838608163004808
15,12,-0.0838608163004808
15,13,0.0184029939023796
15,14,-0.0838608163004808
15,15,0.772684562202238
16,1,0.000928256327106232
16,5,-0.000782125456592434
16,6,-0.1774000009501
16,7,0.0165270599989023
16,8,-0.00657574306467656
16,9,0.00038036624950382
16,10,0.00075222111535685
16,11,-0.0838608163004808
16,12,-0.0838608163004808
16,13,0.0184029939023796
16,14,-0.0838608163004808
16,15,-0.0838608163004808
16,16,0.772684562202238
17,1,-0.000330202477022096
17,5,-0.000620165359822396
17,6,-0.269465643954788
17,7,-0.0154647662290965
17,8,-0.00805894111555373
17,9,-0.0079340082435846
17,10,0.00132797622096113
17,11,-0.00151762560709108
17,12,-0.00151762560709108
17,13,0.0252970324210841
17,14,-0.00151762560709108
17,15,-0.00151762560709108
17,16,-0.00151762560709108
17,17,0.705934782367777
18,1,0.000928256327106232
18,5,-0.000782125456592434
18,6,-0.1774000009501
18,7,0.0165270599989023
18,8,-0.00657574306467656
18,9,0.00038036624950382
18,10,0.00075222111535685
18,11,-0.0838608163004808
18,12,-0.0838608163004808
18,13,0.0184029939023796
18,14,-0.0838608163004808
18,15,-0.0838608163004808
18,16,-0.0838608163004808
18,17,-0.00151762560709108
18,18,0.772684562202238
19,1,-0.000330202477022096
19,5,-0.000620165359822396
19,6,-0.269465643954788
19,7,-0.0154647662290965
19,8,-0.00805894111555373
19,9,-0.0079340082435846
19,10,0.00132797622096113
19,11,-0.00151762560709108
19,12,-0.00151762560709108
19,13,0.0252970324210841
19,14,-0.00151762560709108
19,15,-0.00151762560709108
19,16,-0.00151762560709108
19,17,-0.150610596134942
19,18,-0.00151762560709108
19,19,0.705934782367777
20,1,0.00105910751459369
20,5,-0.000451101200551508
20,6,0.0240485489427783
20,7,-0.124355252530026
20,8,-0.0868093802897412
20,9,-0.0836200287657722
20,10,-0.0195866591501799
20,11,-0.00637834299507512
20,12,-0.00637834299507512
20,13,0.0463191467616336
20,14,-0.00637834299507512
20,15,-0.00637834299507512
20,16,-0.00637834299507512
20,17,-0.00817731915466656
20,18,-0.00637834299507512
20,19,-0.00817731915466656
20,20,0.764227758032258
21,1,-0.000581548097890436
21,5,0.00293613200921131
21,6,-0.0490310924464101
21,7,-0.0248776666974586
21,8,-0.0244466095381688
21,9,-0.0287512052281206
21,10,-0.0294653377709536
21,11,0.00408727951284291
21,12,0.00408727951284291
21,13,-0.0266928291524986
21,14,0.00408727951284291
21,15,0.00408727951284291
21,16,0.00408727951284291
21,17,0.00499264635235802
21,18,0.00408727951284291
21,19,0.00499264635235802
21,20,-0.0258177891203746
21,21,0.913907327023709
22,1,-0.000581548097890436
22,5,0.00293613200921131
22,6,-0.0490310924464101
22,7,-0.0248776666974586
22,8,-0.0244466095381688
22,9,-0.0287512052281206
22,10,-0.0294653377709536
22,11,0.00408727951284291
22,12,0.00408727951284291
22,13,-0.0266928291524986
22,14,0.00408727951284291
22,15,0.00408727951284291
22,16,0.00408727951284291
22,17,0.00499264635235802
22,18,0.00408727951284291
22,19,0.00499264635235802
22,20,-0.0258177891203746
22,21,-0.256378387262005
22,22,0.913907327023709
23,1,-0.000581548097890436
23,5,0.00293613200921131
23,6,-0.0490310924464101
23,7,-0.0248776666974586
23,8,-0.0244466095381688
23,9,-0.0287512052281206
23,10,-0.0294653377709536
23,11,0.00408727951284291
23,12,0.00408727951284291
23,13,-0.0266928291524986
23,14,0.00408727951284291
23,15,0.00408727951284291
23,16,0.00408727951284291
23,17,0.00499264635235802
23,18,0.00408727951284291
23,19,0.00499264635235802
23,20,-0.0258177891203746
23,21,-0.256378387262005
23,22,-0.256378387262005
23,23,0.913907327023709
24,1,-0.000737579584948233
24,5,-0.00837197529747013
24,6,0.00226013053154433
24,7,0.0101551599435214
24,8,-0.0063326760208366
24,9,-0.00176849219531612
24,10,0.0233562239937705
24,11,-0.000326470172240662
24,12,-0.000326470172240662
24,13,-0.280224831815901
24,14,-0.000326470172240662
24,15,-0.000326470172240662
24,16,-0.000326470172240662
24,17,-0.00092466974531464
24,18,-0.000326470172240662
24,19,-0.00092466974531464
24,20,-0.00114721662369306
24,21,0.00166454599153235
